Make,Model,Year,Style,Distance,Engine,Fuel_type,Price,km_year,Transmission,km_year_cat
Mercedes,C Class,2015,Sedan,75000.0,2000.0,Petrol,19000.0,10714.285714285714,Automatic,Medium
BMW,X3,2009,SUV,192000.0,200.0,Diesel,11000.0,14769.23076923077,Manual,Medium
Ford,Fiesta 5D,2011,Hatchback,130000.0,1400.0,Metan/Propan,4700.0,11818.181818181818,Manual,Medium
Volvo,XC90,2015,SUV,180000.0,2000.0,Petrol,26500.0,25714.285714285714,Automatic,Medium
Renault,Megane,2014,Universal,210000.0,1500.0,Diesel,7199.0,26250.0,Manual,Medium
BMW,5 Series,2017,Sedan,77000.0,2000.0,Diesel,33000.0,15400.0,Automatic,Medium
Hyundai,Santa FE,2012,SUV,180000.0,2200.0,Diesel,16750.0,18000.0,Automatic,Medium
Skoda,Superb,2012,Sedan,196000.0,1600.0,Diesel,9950.0,19600.0,Manual,Medium
BMW,X3,2015,Crossover,159000.0,1996.0,Diesel,20500.0,22714.285714285714,Automatic,Medium
Toyota,Rav 4,2019,Crossover,19000.0,2500.0,Hybrid,30000.0,6333.333333333333,Automatic,Small
Volvo,XC90,2015,SUV,155000.0,1996.0,Petrol,27800.0,22142.85714285714,Automatic,Medium
Lexus,CT Series,2016,Hatchback,64000.0,1798.0,Hybrid,16000.0,10666.666666666666,Automatic,Medium
Renault,Grand Modus,2011,Hatchback,174000.0,1461.0,Diesel,4550.0,15818.181818181818,Manual,Medium
Toyota,Auris,2010,Hatchback,187000.0,1400.0,Diesel,6500.0,15583.333333333334,Manual,Medium
Toyota,Auris,2007,Hatchback,235000.0,1500.0,Diesel,5400.0,15666.666666666666,Manual,Medium
BMW,7 Series,2017,Sedan,92000.0,2993.0,Diesel,45000.0,18400.0,Automatic,Medium
Volkswagen,Caddy,2014,Minivan,180000.0,1600.0,Diesel,5800.0,22500.0,Manual,Medium
Opel,Corsa,2011,Hatchback,125000.0,1300.0,Diesel,3750.0,11363.636363636364,Manual,Medium
Honda,CR-V,2013,Crossover,192000.0,2200.0,Diesel,17500.0,21333.333333333332,Automatic,Medium
Mitsubishi,Space Wagon,1995,Minivan,300000.0,2000.0,Metan/Propan,2500.0,11111.111111111111,Manual,Medium
Volkswagen,Polo,2007,Hatchback,240000.0,1400.0,Diesel,3750.0,16000.0,Manual,Medium
Hyundai,Santa FE,2015,Crossover,161000.0,2000.0,Diesel,18000.0,23000.0,Automatic,Medium
Mazda,6,2014,Sedan,230000.0,2200.0,Diesel,13000.0,28750.0,Automatic,Medium
